epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.0247,0.48467,0.63678,1.15962,1.07693,0.99954,0.99448,0.995,0.84887,0.99954,0.99448,0.995,0.89277,0.64833,0.52167,1.03224,1.46055,0.000663366,0.000663366,0.000663366
2,109.88,0.48843,0.4806,0.60825,1.05234,0.99774,0.99448,0.995,0.67216,0.99774,0.99448,0.995,0.81482,1.03552,0.32661,1.56102,2.10675,0.0012642,0.0012642,0.0012642
3,155.079,0.49623,0.47309,0.50717,1.06082,0.97282,0.99448,0.99478,0.86954,0.97282,0.99448,0.99478,0.93029,0.76365,0.29593,0.94935,1.43687,0.00179903,0.00179903,0.00179903
4,204.168,0.45394,0.4455,0.446,1.03086,0.92327,0.98895,0.9937,0.88764,0.92327,0.98895,0.9937,0.9588,0.62931,0.29275,0.70291,1.26272,0.001703,0.001703,0.001703
5,253.438,0.44946,0.45063,0.41324,1.02595,0.99916,0.99448,0.995,0.9129,0.99916,0.99448,0.995,0.99029,0.32731,0.31816,0.43725,0.93368,0.001604,0.001604,0.001604
6,304.844,0.408,0.39423,0.36958,1.00056,0.99782,0.99448,0.995,0.82386,0.99782,0.99448,0.995,0.94522,0.5426,0.2408,0.52551,1.2087,0.001505,0.001505,0.001505
7,345.782,0.39659,0.39064,0.34897,0.99396,0.99904,0.99448,0.995,0.93256,0.99904,0.99448,0.995,0.98286,0.42773,0.21808,0.47069,1.01565,0.001406,0.001406,0.001406
8,379.644,0.36933,0.378,0.3203,0.98421,0.99942,0.99448,0.995,0.9642,0.99942,0.99448,0.995,0.9893,0.36056,0.26248,0.388,0.98125,0.001307,0.001307,0.001307
9,424.347,0.36177,0.37157,0.3063,0.97718,0.99848,0.99448,0.995,0.96514,0.99848,0.99448,0.995,0.98243,0.32353,0.28036,0.39147,0.89832,0.001208,0.001208,0.001208
10,462.521,0.34777,0.35437,0.2933,0.96407,0.99955,0.99448,0.995,0.97065,0.99955,0.99448,0.995,0.98696,0.26449,0.21137,0.25136,0.84819,0.001109,0.001109,0.001109
11,524.186,0.21539,0.23866,0.23804,0.97456,0.9997,0.99448,0.995,0.95294,0.9997,0.99448,0.995,0.995,0.24205,0.21076,0.27753,0.81318,0.00101,0.00101,0.00101
12,570.217,0.17858,0.21745,0.18824,0.93919,0.9997,0.99448,0.995,0.995,0.9997,0.99448,0.995,0.995,0.21422,0.20075,0.19468,0.75108,0.000911,0.000911,0.000911
13,620.584,0.16251,0.21163,0.16404,0.93488,0.9997,0.99448,0.995,0.98941,0.9997,0.99448,0.995,0.995,0.23518,0.19796,0.19511,0.76855,0.000812,0.000812,0.000812
14,666.555,0.1451,0.20576,0.15225,0.91389,1,0.99448,0.995,0.98824,1,0.99448,0.995,0.995,0.20179,0.19222,0.21445,0.73642,0.000713,0.000713,0.000713
15,715.919,0.13697,0.2006,0.14364,0.90378,0.9997,0.99448,0.995,0.995,0.9997,0.99448,0.995,0.995,0.1598,0.19396,0.18224,0.71657,0.000614,0.000614,0.000614
16,765.08,0.13259,0.19959,0.13923,0.90174,0.99971,0.99448,0.995,0.99341,0.99971,0.99448,0.995,0.995,0.20761,0.18818,0.16998,0.74598,0.000515,0.000515,0.000515
17,813.033,0.1228,0.19625,0.12573,0.89884,0.99971,0.99448,0.995,0.99316,0.99971,0.99448,0.995,0.995,0.17325,0.19305,0.18758,0.7266,0.000416,0.000416,0.000416
